"sample_id","L5TG","HDFC","H3TG","H4FC","V1PL","L2FC","L6TG","Alanine","Citric acid","Creatine","Creatinine","Formic acid","Glucose","Glutamic acid","Glycine","Isoleucine","Lactic acid","Methionine","Phenylalanine","Proline","Sarcosine","Trimethylamine-N-oxide"
"sample_027",2,20.22,1.85,4.96,3.83,9.98,2.72,0.379,0.189,0.014,0.078,0.022,4.453,0.067,0.259,0.054,2.327,0.093,0.058,0.13,0.004,0.018
"sample_028",1.3,14.59,1.01,4.6,1.26,3.83,3.53,0.55,0.195,0.016,0.082,0.022,5.109,0.134,0.341,0.037,3.462,0.069,0.072,0.581,0.002,0.095
"sample_029",2.55,7.98,1.44,2.94,2.09,5.19,2.33,0.384,0.219,0.006,0.122,0.013,4.27,0,0.243,0.062,2.414,0.069,0.038,0,0.001,0.034
"sample_030",1.98,11.67,1.48,3.73,2.57,5.18,2.94,0.34,0.17,0.004,0.083,0.013,5.02,0.048,0.308,0.06,1.999,0.092,0.041,0.161,0.003,0.018
"sample_031",0.87,16.57,1.47,4.52,1.84,5.91,3.26,0.37,0.168,0.006,0.094,0.025,4.992,0,0.27,0.045,2.511,0.055,0.059,0,0.005,0.054
"sample_032",1.68,17.13,1.92,3.32,2.54,6.16,2.95,0.366,0.173,0.004,0.09,0.015,4.825,0.059,0.24,0.057,3.026,0.077,0.073,0,0.007,0.018
"sample_033",3.5,16.9,2.82,5.26,13.38,5.81,5.14,0.523,0.123,0.044,0.088,0.025,6.084,0.124,0.161,0.055,2.419,0.098,0.04,0.246,0,0.037
"sample_034",3.07,12.94,2.55,5.28,8.44,4.16,3.85,0.607,0.174,0.009,0.086,0.024,5.316,0.057,0.374,0.064,2.024,0.087,0.045,0,0,0.024
"sample_035",6.83,6.7,1.77,3.96,19.49,0.45,9.75,0.527,0.143,0.012,0.113,0.01,7.062,0.15,0.246,0.059,2.467,0.067,0.069,0.395,0.007,0.012
"sample_036",4.55,14.69,2.02,4.66,1.96,8.51,3.41,0.465,0.145,0.013,0.092,0.011,5.014,0.134,0.325,0.043,2.556,0.089,0.068,0.201,0.004,0.022
"sample_037",2.55,10.72,2.22,3.12,6.6,2.21,3.66,0.396,0.186,0.009,0.084,0.023,5.262,0.161,0.259,0.057,2.633,0.084,0.061,0.154,0.006,0.024
"sample_038",1,20.95,1.7,4.28,1.13,7.46,3.47,0.37,0.147,0.029,0.076,0.028,4.508,0.04,0.334,0.038,2.284,0.095,0.043,0,0.003,0.046
"sample_039",4.83,12.74,2.06,5.07,9.14,1.83,5.08,0.342,0.125,0.058,0.104,0.026,3.677,0.144,0.259,0.08,2.976,0.072,0.065,0.134,0.013,0.003
"sample_040",2.3,15.03,2.47,3.71,5.06,5.26,3.4,0.335,0.12,0.006,0.133,0.017,4.402,0.087,0.405,0.07,3.449,0.086,0.066,0,0.008,0.05
"sample_041",0.72,12.82,1.14,4.49,3.17,6.8,3.03,0.448,0.13,0.015,0.139,0.012,4.652,0.101,0.26,0.059,2.95,0.125,0.066,0.192,0.009,0.001
"sample_042",1.23,17.5,0.66,5.08,1.79,8.18,4.02,0.333,0.153,0.023,0.097,0.013,4.147,0.136,0.26,0.051,2.831,0.069,0.068,0,0.001,0.021
"sample_043",5.12,10.49,2,4.72,8.35,3,5.69,0.612,0.193,0.058,0.053,0.022,5.705,0.122,0.242,0.06,4.018,0.048,0.087,0,0.005,0.011
"sample_044",6.08,13.69,2.93,6.16,10.84,1.87,7.59,0.421,0.165,0.019,0.1,0.013,5.134,0.066,0.276,0.064,2.821,0.056,0.062,0.222,0.008,0.008
"sample_045",3.37,15.03,2.1,5.8,10.42,5.42,3.65,0.405,0.095,0.022,0.102,0.012,4.575,0.074,0.223,0.068,2.446,0.072,0.042,0,0.013,0.001
"sample_046",1.78,12.9,1.26,3.65,2.76,6.73,3.65,0.304,0.122,0.018,0.078,0.013,3.95,0.099,0.248,0.074,2.387,0.081,0.088,0,0.005,0.013
"sample_047",1.25,21.07,2.07,3.39,0.46,8.79,2.99,0.396,0.135,0.021,0.089,0.015,4.028,0.071,0.381,0.03,2.441,0.104,0.05,0.196,0.002,0.023
"sample_048",2.73,12.83,2.42,4.22,7.83,4.82,3.03,0.506,0.145,0.005,0.114,0.012,4.895,0.123,0.325,0.051,3.089,0.072,0.061,0.254,0.013,0.017
"sample_049",1.91,20.15,0.42,3.61,0.26,9.41,4.75,0.425,0.166,0.031,0.09,0.019,4.755,0.049,0.353,0.046,3.995,0.064,0.046,0.252,0.003,0.038
"sample_050",1.48,19.95,1.55,2.7,0.37,6.8,3.67,0.337,0.197,0.018,0.088,0.008,4.776,0.076,0.377,0.039,2.51,0.077,0.074,0,0,0.023
"sample_051",1.24,20.89,1.71,3.94,1.03,9.67,2.35,0.331,0.205,0.044,0.088,0.02,4.664,0.086,0.256,0.038,2.618,0.077,0.052,0,0.007,0.045
"sample_052",0.84,19.41,2.01,4.32,3.04,7.6,2.96,0.402,0.156,0.013,0.068,0.018,4.399,0.094,0.335,0.044,2.643,0.097,0.058,0,0.007,0.01
"sample_053",4.55,12.54,1.01,4.95,6.14,3.2,5.91,0.321,0.108,0.03,0.125,0.011,4.519,0.118,0.234,0.063,1.85,0.11,0.06,0,0.009,0.005
"sample_054",3.31,11.18,1.52,3.13,5.49,4.47,3.47,0.592,0.097,0.015,0.087,0.013,5.506,0.105,0.323,0.054,2.979,0.077,0.059,0,0.008,0.017
"sample_055",2.58,25,4.87,5.34,2.26,6.16,3.49,0.422,0.191,0.018,0.083,0.022,3.802,0.09,0.228,0.038,3.535,0.043,0.076,0,0.003,0.017
"sample_056",3.27,9.61,1.91,3.65,5,4.93,2.44,0.406,0.15,0.018,0.125,0.016,4.285,0.062,0.274,0.041,3.255,0.066,0.091,0,0.004,0.005
"sample_057",1.79,12.87,1.42,4.97,5.46,3.41,2.56,0.555,0.117,0.019,0.071,0.027,4.192,0.106,0.188,0.058,3.574,0.061,0.054,0.262,0.003,0.01
"sample_058",1.25,11.65,2.16,4.28,9.63,6.42,2.05,0.479,0.119,0,0.088,0.009,4.344,0.097,0.272,0.055,2.723,0.095,0.042,0,0.009,0.006
"sample_059",6.17,14.2,3.33,3.87,5.13,4.01,6.13,0.346,0.135,0.061,0.069,0.009,5.031,0.071,0.427,0.038,2.234,0.099,0.05,0.297,0.009,0.009
"sample_060",1.75,11.86,1.27,4.09,5.15,3.7,3.09,0.517,0.152,0.007,0.108,0.011,4.763,0.091,0.253,0.05,2.788,0.081,0.059,0.191,0.01,0.04
"sample_061",4.98,8.64,2.38,3.03,5.1,3.35,4.71,0.409,0.134,0.029,0.117,0.022,4.486,0.157,0.317,0.073,3.218,0.102,0.069,0,0.004,0.05
"sample_062",1.73,12.34,2.37,3.95,6.53,4.56,1.36,0.425,0.184,0.006,0.106,0.017,5.714,0.091,0.31,0.045,3.336,0.073,0.077,0,0.005,0.02
"sample_063",1.78,11.07,1.31,4.9,3.88,6.24,2.77,0.364,0.197,0.011,0.11,0.018,4.621,0.072,0.31,0.066,2.385,0.061,0.053,0.221,0.003,0.006
"sample_064",2.04,14.27,1.35,5.05,3.36,8.77,3.59,0.337,0.164,0.016,0.094,0.008,4.205,0.061,0.243,0.045,2.331,0.054,0.048,0,0,0.051
"sample_065",1.03,21.04,1.87,2.2,2.2,7.75,2.56,0.39,0.132,0.072,0.066,0.021,5.107,0.052,0.308,0.043,2.046,0.087,0.052,0,0.004,0.03
"sample_066",2.06,13.25,1.85,3.92,3.1,6.34,2.24,0.538,0.132,0.032,0.084,0.006,5.103,0.09,0.224,0.093,2.733,0.072,0.049,0.233,0.007,0.034
"sample_067",6.29,4.42,5.74,4.42,36.57,2.41,11.36,0.708,0.151,0.001,0.146,0.016,8.761,0.145,0.279,0.087,2.261,0.092,0.09,0.206,0,0
"sample_068",1.06,20.33,1.54,5.76,2.93,10.63,2.6,0.494,0.164,0.003,0.091,0.012,4.315,0.079,0.35,0.052,2.639,0.107,0.05,0,0.006,0.047
"sample_069",1.73,21.49,0.98,3.19,1.64,5.46,4.43,0.381,0.119,0.017,0.09,0.017,4.31,0.102,0.304,0.068,2.674,0.107,0.058,0,0.005,0.02
"sample_070",2.07,12.89,1.65,5.59,6.9,2.88,4.07,0.391,0.176,0.014,0.111,0.014,4.375,0.086,0.25,0.082,2.758,0.09,0.066,0,0.006,0.022
"sample_071",1.62,14.02,1.84,2.16,1.66,6.09,2.6,0.293,0.128,0.017,0.105,0.017,4.554,0,0.269,0.053,1.641,0.066,0.063,0.196,0.002,0.008
"sample_072",1.68,12.77,1.52,2.83,1.36,6.73,2.76,0.298,0.164,0.015,0.088,0.015,5.073,0.081,0.235,0.052,1.624,0.078,0.055,0,0.003,0.016
"sample_073",2.94,17.19,3.32,5.64,10.65,5.79,3.69,0.445,0.129,0.017,0.103,0.03,6.271,0.085,0.325,0.092,2.653,0.054,0.047,0,0,0.023
"sample_074",3.43,14.72,1.4,4.84,3.42,5.23,4.65,0.406,0.104,0.021,0.11,0.014,4.601,0.102,0.301,0.072,3.097,0.078,0.043,0,0.002,0.098
"sample_075",1.13,16.69,1.35,3.52,0.88,5.59,3.08,0.352,0.163,0.029,0.065,0.021,4.932,0.091,0.27,0.057,1.985,0.081,0.047,0,0.002,0.029
"sample_076",1.73,14.57,1.78,4.15,5.37,8.26,3.07,0.454,0.116,0.055,0.079,0.005,4.432,0.051,0.323,0.059,3.022,0.068,0.059,0,0.009,0.015
"sample_077",2.51,17.94,2.52,6.02,7.44,3.2,4.17,0.459,0.142,0.027,0.098,0.02,4.841,0.205,0.302,0.061,3.131,0.119,0.101,0,0.006,0.014
"sample_078",0.91,20.47,1.65,2.72,1.32,6.83,2.8,0.329,0.147,0.005,0.077,0.025,4.425,0,0.207,0.047,2.425,0.092,0.045,0.688,0.005,0.036
"sample_079",2.51,12.65,1.99,2.87,3.31,6.78,2.6,0.314,0.156,0.001,0.089,0.009,4.464,0.07,0.267,0.063,2.426,0.051,0.056,0,0.002,0.006
"sample_080",0.46,25.47,0.19,1.59,0,8.26,3.57,0.321,0.173,0.068,0.094,0.02,4.893,0.074,0.215,0.054,2.028,0.055,0.058,0,0.006,0.036
"sample_081",1.67,14.99,3.94,3.1,4.01,6,1.25,0.481,0.167,0.005,0.087,0.017,4.897,0.131,0.349,0.052,3.215,0.069,0.042,0,0.002,0.021
"sample_082",1.12,16.17,1.55,4.39,1.03,6.14,2.51,0.302,0.213,0.009,0.058,0.02,3.811,0.052,0.27,0.041,2.427,0.049,0.054,0,0.003,0.037
"sample_083",3.08,10.28,1.61,2.99,4.8,4.61,3.43,0.439,0.196,0.007,0.105,0.019,4.138,0.141,0.289,0.066,3.585,0.074,0.072,0,0,0.06
"sample_084",6.18,0,10.23,0,58.54,12.66,2.16,0.491,0.171,0.042,0.113,0.027,5.781,0.072,0.347,0.113,2.53,0.102,0.082,0.459,0.038,0.021
"sample_085",3.82,12.35,2.13,4.93,3.38,3.98,4.65,0.444,0.152,0.024,0.075,0.022,7.376,0.079,0.259,0.053,2.337,0.059,0.067,0.369,0.004,0.035
"sample_086",2.31,13.53,1,5.25,3.09,5.84,3.53,0.469,0.163,0.006,0.095,0.009,5.444,0.066,0.319,0.066,2.289,0.075,0.063,0,0.004,0.039
"sample_087",1.39,15.66,2.07,3.53,4.78,3.47,3.64,0.557,0.197,0.002,0.103,0.012,5.105,0.09,0.307,0.06,3.707,0.102,0.055,0,0.008,0.027
"sample_088",0.6,9.83,1.48,2.92,2.07,3.71,2.51,0.369,0.139,0.009,0.085,0.012,4.334,0.059,0.411,0.067,2.29,0.092,0.057,0.168,0.003,0.026
"sample_089",1.47,19.53,1.4,2.49,0.22,6.82,4.09,0.31,0.173,0.01,0.074,0.012,4.408,0.091,0.25,0.032,2.104,0.052,0.071,0,0.003,0.078
"sample_090",1.82,24.02,0.89,2.51,1.6,10.92,4.48,0.391,0.13,0.005,0.111,0.017,4.92,0.106,0.343,0.099,2.389,0.085,0.056,0,0.003,0.018
"sample_091",1.11,14.64,1.77,4.57,3.11,6.44,2.81,0.348,0.131,0.019,0.08,0.017,4.69,0.056,0.243,0.068,2.198,0.081,0.051,0,0,0.014
"sample_092",1.12,20.53,2.66,4.25,2.53,7.01,2.25,0.409,0.157,0.012,0.072,0.011,4.536,0.104,0.45,0.032,2.692,0.07,0.05,0.255,0.004,0.013
"sample_093",2.47,18.26,2.11,6.98,2.4,7.23,3.95,0.376,0.185,0.005,0.112,0.019,5.184,0.142,0.344,0.047,3.321,0.071,0.053,0.226,0.004,0.024
"sample_094",2.57,8.49,1.88,3.41,4.21,6.19,4.35,0.538,0.177,0.004,0.092,0.015,5.845,0.093,0.278,0.083,2.883,0.082,0.077,0.425,0.003,0.024
"sample_095",2.05,20.34,2.36,5.13,2.59,5.72,2.82,0.352,0.144,0.014,0.074,0.017,4.772,0.076,0.266,0.052,2.06,0.058,0.052,0.468,0.005,0.028
"sample_096",2.57,12.69,2.13,5.11,6.98,2.48,3.82,0.416,0.168,0.011,0.121,0.013,4.606,0.064,0.312,0.051,2.339,0.099,0.049,0.236,0.01,0.008
"sample_097",3.88,12.19,2.95,5,10.82,0,6.17,0.353,0.133,0.004,0.119,0.027,4.876,0.038,0.25,0.088,2.005,0.101,0.052,0,0,0.048
"sample_098",1.65,13.89,1.29,4.35,4.18,6.8,3.55,0.407,0.155,0.005,0.09,0.018,5.461,0.08,0.262,0.047,2.117,0.08,0.054,0.19,0.012,0.022
"sample_099",1.73,14.17,1.83,5.22,6.74,5.36,4.34,0.361,0.191,0.027,0.088,0.007,5.32,0.088,0.393,0.042,2.615,0.068,0.052,0,0.008,0.021
"sample_100",1.56,11.56,1.4,4.6,2.36,4.74,2.92,0.435,0.154,0.007,0.114,0.009,5.03,0.061,0.296,0.054,1.44,0.047,0.034,0,0.004,0.033
